Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,283.160004,283.160004,275.910004,276.709991,276.709991,135100
04-01-2000,276.619995,278.709991,274.660004,278.51001,278.51001,138300
05-01-2000,278.450012,290.100006,278.450012,289.109985,289.109985,163500
06-01-2000,289.109985,293.540009,288.600006,292.640015,292.640015,192800
07-01-2000,292.73999,298.160004,292.670013,297.779999,297.779999,156600
10-01-2000,297.910004,298.100006,296.079987,296.369995,296.369995,92800
11-01-2000,296.269989,296.779999,294.209991,294.369995,294.369995,103500
12-01-2000,294.089996,298.709991,294.049988,298.230011,298.230011,139100
13-01-2000,298.200012,301.049988,297.329987,299.799988,299.799988,136300
14-01-2000,300.410004,302.339996,298.679993,302.23999,302.23999,141900
18-01-2000,302.109985,302.109985,297.459991,299.290009,299.290009,143300
19-01-2000,299.380005,302.5,299.059998,301.540009,301.540009,128300
20-01-2000,301.410004,308.950012,300.410004,308.820007,308.820007,196800
21-01-2000,308.859985,315.529999,308.470001,315.089996,315.089996,261200
24-01-2000,315.049988,317.269989,311.709991,312.26001,312.26001,187400
25-01-2000,312.160004,312.679993,304.649994,305.869995,305.869995,181400
26-01-2000,305.869995,310.779999,305.519989,310.329987,310.329987,166800
27-01-2000,310.200012,312.320007,308.209991,310.809998,310.809998,173900
28-01-2000,311.040009,311.040009,305.649994,306.579987,306.579987,158700
31-01-2000,306.579987,315.140015,305.73999,315.140015,315.140015,149100
01-02-2000,315.140015,315.369995,312.01001,312.950012,312.950012,149500
02-02-2000,312.890015,313.76001,310.670013,311.410004,311.410004,146500
03-02-2000,311.329987,317.820007,311.299988,315.609985,315.609985,166400
04-02-2000,315.609985,316.980011,308.359985,309.299988,309.299988,177400
07-02-2000,309.26001,310,306.709991,306.910004,306.910004,114800
08-02-2000,306.720001,312.179993,306.720001,311.309998,311.309998,134500
09-02-2000,311.049988,311.850006,309.399994,309.429993,309.429993,153800
10-02-2000,309.359985,312.109985,307.579987,308.089996,308.089996,140200
11-02-2000,308.089996,308.829987,304.730011,305.970001,305.970001,121400
14-02-2000,305.380005,309.429993,305.279999,307.049988,307.049988,109200
15-02-2000,306.980011,308.98999,306.540009,307.420013,307.420013,124600
16-02-2000,307.25,308.25,305.570007,306.109985,306.109985,136600
17-02-2000,306.109985,307.779999,303.350006,303.98999,303.98999,145100
18-02-2000,303.920013,303.98999,297.579987,298.859985,298.859985,160100
22-02-2000,298.890015,300.269989,295.630005,295.899994,295.899994,136900
23-02-2000,295.769989,296.570007,292.649994,293.519989,293.519989,148400
24-02-2000,293.480011,294.160004,281.399994,285.529999,285.529999,165400
25-02-2000,285.660004,286.73999,278.820007,279.98999,279.98999,142300
28-02-2000,279.790009,289.98999,279.790009,288.149994,288.149994,161000
29-02-2000,288.01001,289.589996,286.369995,288.480011,288.480011,129200
01-03-2000,288.329987,289.619995,284.089996,287.380005,287.380005,140500
02-03-2000,287.23999,289.459991,286.73999,287.980011,287.980011,151100
03-03-2000,287.880005,290.730011,287.850006,290.200012,290.200012,159700
06-03-2000,290.130005,290.829987,279.049988,280.799988,280.799988,253800
07-03-2000,280.799988,284.790009,279.390015,279.98999,279.98999,286400
08-03-2000,279.359985,279.940002,276.100006,276.470001,276.470001,196000
09-03-2000,276.600006,276.670013,272.369995,275.690002,275.690002,173000
10-03-2000,275.630005,279.290009,275.630005,277.73999,277.73999,215700
13-03-2000,277.480011,277.480011,273.410004,276.570007,276.570007,131000
14-03-2000,276.570007,276.600006,272.839996,274.119995,274.119995,138800
15-03-2000,274.049988,284.559998,273.950012,284.019989,284.019989,194700
16-03-2000,283.779999,295.940002,283.779999,295.769989,295.769989,185900
17-03-2000,295.799988,296,288.98999,289.929993,289.929993,186800
20-03-2000,290.059998,292.609985,287.440002,288.049988,288.049988,120600
21-03-2000,288.01001,290.559998,287.540009,289.660004,289.660004,162500
